Breed Name,Description,Dog Size,Dog Breed Group,Height,"Avg. Height, cm",Weight,"Avg. Weight, kg",Life Span,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
Alaskan Klee Kai," Miniature versions of their Alaskan Husky ancestors, Klee Kais are intelligent and energetic dogs with a playful demeanor. Their small size and striking resemblance to wolves capture the hearts of many dog lovers",Medium,Companion Dogs,13 to 17 inches,38.1,10 to 15 pounds,5.62,12 to 16 years,14,3.2,3,2,4,2,5,2,3,4,3,2,2,3.2,4,2,4,4,2,2,3.6,4,4,2,5,3,4,3.33,4,2,4,4
Alaskan Malamute,"Bred for strength and endurance in the harsh Arctic conditions, Alaskan Malamutes are powerful sled dogs with a friendly disposition. Their thick, double coat and expressive eyes reflect their heritage as loyal companions to native peoples.",Very Large,Working Dogs,23 to 25 inches tall at the shoulder,60.96,75 to 100 pounds,39.38,12 to 15 years,14,2.4,1,1,4,1,5,2,3,4,3,2,5,2.8,5,1,1,4,3,4,4,4,4,3,4,5,5,5,5,5,5,5
American Bulldog,"Bulldogs are robust and muscular dogs with a gentle disposition and unwavering loyalty to their families. Originally bred for working on farms and ranches, they excel as both working dogs and beloved pets.",Very Large,Working Dogs,20 to 28 inches,60.96,60 to 120 pounds,40.5,10 to 16 years,13,1.8,1,1,4,1,2,2,3.67,5,4,2,2,2.8,1,4,4,3,2,4,3,4,3,2,4,2,3,4,4,4,4,4
American English Coonhound,"Known for their endurance and hunting prowess, American English Coonhounds are versatile and athletic dogs. Their keen sense of smell and friendly demeanor make them valued companions for outdoor enthusiasts.",Very Large,Hound Dogs,23 to 26 inches tall at the shoulder,62.23,40 to 75 pounds,25.88,10 to 12 years,11,2.8,1,2,5,2,4,4,4.67,5,5,4,5,3.2,3,1,5,4,3,3,4.4,5,4,3,5,5,5,5,5,5,5,5
American Eskimo Dog,"With their fluffy white coat and lively personality, American Eskimo Dogs are playful and intelligent companions. Their agility and trainability make them well-suited for various dog sports and activities.",Large,Companion Dogs,15 to 19 inches tall at the shoulder,43.18,Starts at 30 pounds,13.5,12 to 15 years,14,4,5,4,4,2,5,3,5,5,5,5,4,3.6,5,1,3,5,4,2,3.8,5,4,3,3,4,3,4,5,3,4,5
American Foxhound,"Bred for fox hunting, American Foxhounds are athletic and energetic dogs with a keen sense of smell. Their friendly and sociable nature endears them to families and fellow hounds alike.",Very Large,Hound Dogs,21 to 25 inches tall at the shoulder,58.42,40 to 60 pounds,22.5,12 to 13 years,12,2,1,2,2,1,4,4,4.67,4,5,5,4,3.8,3,1,5,5,5,3,3.4,2,3,3,4,5,5,4.67,5,4,5,5
American Hairless Terrier,"American Hairless Terriers are small, energetic dogs with a playful spirit and minimal grooming needs. Their affectionate nature and unique appearance make them cherished companions.",Medium,Terrier Dogs,12 to 16 inches,35.56,10 to 16 pounds,5.85,13 to 16 years,14,2.6,4,3,3,2,1,3,3.67,4,4,3,3,3,1,1,5,4,4,2,3.4,3,4,3,4,3,3,3.33,4,3,3,5
American Leopard Hound," A rare breed developed in the United States, American Leopard Hounds are versatile hunting dogs with a strong prey drive. Their loyal and affectionate nature makes them valued members of active households.",Very Large,Hound Dogs,21 to 27 Inches.,60.96,35 to 75 pounds. ,24.75,12 to 15 years. ,14,3.2,2,4,3,3,4,4,4.33,5,4,4,3,2.8,2,2,4,4,2,4,3.8,4,4,3,4,4,4,3.67,4,3,4,4
American Pit Bull Terrier," Despite their controversial reputation, Pit Bulls are affectionate and loyal dogs known for their strength and intelligence. With proper training and socialization, they can be loving companions and exemplary family pets.",Very Large,Terrier Dogs,17 to 19 inches tall at the shoulder,45.72,30 to 85 pounds,25.88,12 to 16 years,14,2.4,3,2,4,1,2,3,3.67,5,5,1,5,3.4,4,1,5,4,3,3,3.8,4,4,5,3,3,4,4.33,4,5,4,5
American Pugabull,"A blend of American Bulldog and Pug, Pugabulls are affectionate and playful dogs with a charming personality. Their sturdy build and loving nature make them popular choices for families.",Very Large,Mixed Breed Dogs,12 to 20 inches,40.64,25 to 70 pounds ,21.38,12 to 14 years ,13,2.6,3,3,4,1,2,3,4,5,4,3,3,3,3,3,4,2,3,3,3.2,3,3,2,4,4,2,3.67,4,4,3,5
American Staffordshire Terrier,"Affectionately nicknamed the ""AmStaff,"" these dogs are muscular and loyal companions with a friendly demeanor. Their strong protective instinct and love for their families are hallmark traits of the breed.",Very Large,Terrier Dogs,16 to 19 inches,44.45,40 to 60 pounds,22.5,10 to 15 years,12,2.2,2,2,3,2,2,3,3.33,4,4,2,4,2.8,2,3,4,3,2,3,4,4,4,5,3,4,3,3.67,3,5,3,4
American Water Spaniel, American Water Spaniels are energetic and intelligent hunting dogs with a friendly disposition. Their love for water and natural retrieving instincts make them valuable assets for hunters and families alike.,Large,Sporting Dogs,15 to 18 tall at the shoulder,41.91,25 to 45 pounds,15.75,12 to 15 years,14,2.4,2,2,5,1,2,4,4,5,5,2,3,2.6,3,1,3,3,3,3,3.4,4,3,5,2,3,5,4,5,2,5,5
Anatolian Shepherd Dog,"Bred to protect livestock, Anatolian Shepherds are large and powerful dogs with a calm and protective nature. Their loyalty and devotion to their families make them excellent guardians and beloved companions.",Very Large,Working Dogs,23 to 29 tall at the shoulder,66.04,80 to 150 pounds,51.75,11 to 13 years,12,3,1,2,4,3,5,3,2.33,3,2,2,1,3,2,3,4,3,3,5,2.8,4,4,2,2,2,4,3,3,3,3,3
Appenzeller Sennenhunde,"Appenzellers are energetic and intelligent dogs known for their tricolor coat and tireless work ethic. Their versatility and adaptability make them valued partners for various tasks, from herding to family companionship.",Very Large,Herding Dogs,19 to 22 inches tall at the shoulder,52.07,48 to 55 pounds,23.18,9 to 12 years,10,2.6,1,3,3,1,5,4,4.33,5,5,3,2,3.2,3,1,5,4,3,3,4.2,4,4,5,3,5,3,4.33,4,4,5,4
Auggie," A crossbreed of Australian Shepherd and Corgi, Auggies are intelligent and energetic dogs with a playful personality. Their striking appearance and lively demeanor make them popular choices for active families.",Large,Mixed Breed Dogs,10 to 13 inches,29.21,20 to 30 pounds,11.25,12 to 15 years,14,3.2,2,3,4,3,4,3,5,5,5,5,4,2.8,4,1,2,3,4,3,4,5,5,3,3,4,3,4.67,5,4,5,5
Aussiedoodle,"Combining the intelligence of the Poodle with the agility of the Australian Shepherd, Aussiedoodles are affectionate and intelligent companions. Their hypoallergenic coat and friendly disposition make them sought-after pets for families.",Very Large,Mixed Breed Dogs,10 to 15 inches,31.75,25 to 70 pounds,21.38,10 to 13 years,12,2.6,2,3,3,2,3,3,4.33,5,4,4,4,3.6,3,4,3,4,4,3,3.6,5,5,3,3,2,3,4.67,5,4,5,5
Aussiepom,"A mix of Australian Shepherd and Pomeranian, Aussiepoms are small but spirited dogs with a friendly disposition. Their fluffy coats and lively personalities make them delightful companions for households of all sizes.",Medium,Mixed Breed Dogs,11 to 17 inches,35.56,10 to 30 pounds,9,12 to 15 years,14,2.6,3,2,3,2,3,3,3.67,4,3,4,4,3,3,2,2,4,4,3,3.4,4,4,4,2,3,2,4,5,3,4,5
Australian Cattle Dog,"Also known as Blue Heelers, Australian Cattle Dogs are intelligent and energetic herding dogs. Their strong work ethic and loyalty make them valuable partners for farmers and active families.",Large,Herding Dogs,17 to 20 inches tall at the shoulder,46.99,30 to 50 pounds,18,12 to 15 years,14,2.8,2,1,4,3,4,4,4,5,3,4,2,3.4,3,1,4,5,4,3,4.2,5,5,5,4,2,4,5,5,5,5,5
Australian Kelpie,"Renowned for their agility and intelligence, Australian Kelpies are hardworking herding dogs. Their boundless energy and keen instincts make them well-suited for farm work and canine sports.",Large,Herding Dogs,15 to 20 inches,44.45,25 to 46 pounds,15.98,10 to 15 years,12,2.6,2,2,4,2,3,5,3,4,2,3,2,2.6,3,1,4,3,2,3,4.6,5,5,5,4,4,4,4.33,5,3,5,4
Australian Retriever,"A blend of Australian Shepherd and Golden Retriever, Australian Retrievers are friendly and loyal dogs. Their playful nature and love for outdoor activities make them cherished companions for active families.",Large,Mixed Breed Dogs,19 to 23 inches,53.34,25 to 60 pounds,19.12,12 to 15 years,14,2.8,1,4,3,2,4,4,3.67,4,4,3,3,3.2,3,2,3,4,4,4,3,4,4,2,3,2,4,4.33,5,3,5,4
Australian Shepherd,"Highly intelligent and energetic, Australian Shepherds are versatile herding dogs. Their strong work ethic and affectionate nature make them beloved members of active households.
",Very Large,Herding Dogs,18 to 23 inches tall at the shoulder,52.07,40 to 65 pounds,23.62,12 to 15 years,14,2.8,1,2,5,2,4,4,4.67,5,4,5,3,2.2,3,1,1,2,4,3,4.4,5,5,4,4,4,5,4.67,5,4,5,5
Australian Shepherd Husky," A cross between Australian Shepherd and Siberian Husky, these dogs are intelligent and energetic companions. Their striking appearance, with piercing blue eyes, captures the hearts of many dog enthusiasts.",Very Large,Mixed Breed Dogs,18 to 25 inches,54.61,40 to 65 pounds,23.62,12 to 15 years,14,2.6,1,2,4,1,5,4,3.33,5,3,2,2,3.2,4,2,3,3,4,4,4.2,4,5,3,4,5,5,5,5,5,5,5
Australian Shepherd Lab Mix,"A mix of Australian Shepherd and Labrador Retriever, these dogs are intelligent and loyal companions. Their friendly demeanor and versatility make them excellent family pets and working dogs.",Very Large,Mixed Breed Dogs,22 to 25 inches ,59.69,40 to 80 pounds,27,12 to 15 years ,14,3.6,2,2,5,4,5,4,4,4,4,4,4,3.4,4,2,4,4,3,4,4,5,5,4,3,3,5,5,5,5,5,5
Australian Shepherd Pit Bull Mix,"A crossbreed of Australian Shepherd and American Pit Bull Terrier, these dogs are known for their loyalty and protective instincts. Their intelligence and athleticism make them adept at various activities and tasks",Very Large,Mixed Breed Dogs,17 to 23 inches,50.8,30 to 85 pounds,25.88,10 to 16 years,13,2.6,2,3,3,2,3,3,3.67,4,4,3,3,3.6,4,2,3,4,5,4,3.4,4,4,3,4,2,3,3.67,4,3,4,4
Australian Stumpy Tail Cattle Dog," Similar to their cousins, the Australian Cattle Dogs, Stumpy Tail Cattle Dogs are energetic and intelligent herding dogs. Their natural instincts and tireless work ethic make them valuable assets on farms and ranches.",Large,Herding Dogs,17 to 20 inches,46.99,35 to 51 pounds,19.35,13 to 15 years,14,2.4,1,2,3,2,4,4,2.67,3,3,2,2,3.4,4,2,3,4,4,3,3,3,4,3,3,2,4,4.67,5,4,5,3
Australian Terrier,"Small but spirited, Australian Terriers are confident and intelligent dogs with a lively personality. Their wiry coat and playful demeanor make them charming companions for households of all sizes.",Medium,Terrier Dogs,10 to 11 inches tall at the shoulder,26.67,14 to 16 pounds,6.75,Up to 15 years,15,3,5,3,2,2,3,4,3,4,3,2,3,3,1,1,5,5,3,1,3.6,3,4,1,5,5,4,4.67,5,5,4,5
Azawakh," Hailing from West Africa, Azawakhs are elegant and athletic sighthounds. Their striking appearance and independent nature make them prized companions for experienced dog owners.",Large,Hound Dogs,23 to 27 inches tall at the shoulder,63.5,33 to 55 pounds,19.8,12 to 15 years,14,2.8,5,2,3,3,1,5,3,4,2,3,2,3,3,1,5,3,3,4,2.8,3,3,3,4,1,2,3,3,2,4,3
Barbet,"A French water dog breed, Barbets are intelligent and friendly dogs with a curly coat. Their love for water activities and affectionate nature make them cherished companions for active families.",Very Large,Sporting Dogs,20 to 25 inches tall at the shoulder,57.15,37 to 62 pounds,22.28,13 to 15 years,14,2.6,3,2,3,1,4,4,4.33,5,4,4,3,2.2,2,1,1,4,3,3,3.2,4,4,2,3,3,3,3.67,5,3,3,4
Basenji," Often referred to as the ""barkless dog,"" Basenjis are small and agile hunting dogs. Their unique yodel-like vocalization and independent nature make them fascinating companions for those seeking a distinct breed.",Medium,Hound Dogs,16 to 17 inches tall at the shoulder,41.91,22 to 24 pounds,10.35,10 to 12 years,11,3.4,5,4,3,4,1,4,4.67,5,5,4,5,2.2,1,1,5,2,2,2,3.2,1,4,5,5,1,5,3.67,5,1,5,2
Bassador,"Bassadors are a crossbreed between Basset Hounds and Labrador Retrievers, combining the Basset's floppy ears and affectionate nature with the Lab's intelligence and loyalty. They make excellent family pets with their friendly demeanor and playful personality.
",Very Large,Mixed Breed Dogs,13 to 20 inches,41.91,45 to 70 pounds,25.88,10 to 12 years,11,2.8,2,2,3,3,4,4,3,3,3,3,3,3.6,5,4,3,3,3,4,2.8,2,3,2,4,3,3,3,3,2,4,3
Basset Fauve de Bretagne,"Basset Fauve de Bretagnes, also known as the Fawn Brittany Basset, are small French scent hounds with a wiry coat and expressive eyes. Their lively disposition and keen sense of smell make them adept hunters and delightful companions.",Large,Hound Dogs,12 to 15 inches. ,34.29,25 to 35 pounds. ,13.5,12 to 15 years. ,14,3.4,4,4,3,3,3,1,4.33,5,4,4,3,2.6,2,1,4,5,1,2,3.2,3,5,3,3,2,1,3.33,4,2,4,3
Basset Hound,"With their droopy ears and soulful eyes, Basset Hounds are iconic scent hounds known for their gentle temperament and excellent tracking abilities. They are affectionate and laid-back dogs, making them cherished family pets.",Very Large,Hound Dogs,Up to 14 inches tall at the shoulder,35.56,50 to 65 pounds,25.88,10 to 12 years,11,3.6,5,4,4,3,2,2,5,5,5,5,5,3.8,4,4,5,1,5,3,3.6,2,4,3,5,4,5,2,2,2,2,2
Basset Retriever,"A mix of Basset Hound and Labrador Retriever, Basset Retrievers combine the Basset's affectionate nature with the Lab's intelligence and loyalty. They are friendly, outgoing dogs with a playful spirit and a love for outdoor activities.",Very Large,Mixed Breed Dogs,10 to 14 inches,30.48,40 to 70 pounds,24.75,10 to 12 years,11,2.8,3,3,2,2,4,4,3.67,4,4,3,4,3.2,2,2,4,4,4,3,3.8,4,5,3,5,2,4,3.33,4,2,4,4
Bavarian Mountain Scent Hound,"Originating from Germany, Bavarian Mountain Scent Hounds are skilled hunters with a keen sense of smell and a determined nature. They are loyal and affectionate companions, especially well-suited for active households.",Very Large,Hound Dogs,17 to 20 inches.,46.99,44 to 55 pounds. ,22.28,10 to 14 years. ,12,2.2,2,3,2,2,2,3,4,5,4,3,2,2.4,1,2,3,4,2,3,3,3,4,2,4,2,2,3.33,4,2,4,4
Beabull,"Originating from Germany, Bavarian Mountain Scent Hounds are skilled hunters with a keen sense of smell and a determined nature. They are loyal and affectionate companions, especially well-suited for active households.",Very Large,Mixed Breed Dogs,12 to 16 inches,35.56,30 to 60 pounds,20.25,10 to 13 years,12,3.4,4,3,4,4,2,2,4.67,5,5,4,3,3.8,4,3,5,3,4,3,3.6,3,3,4,4,4,4,3.33,3,4,3,5
Beagle,"Beagles are popular scent hounds known for their friendly disposition and exceptional tracking abilities. They are curious and energetic dogs, often displaying a playful and mischievous streak that endears them to their families.
",Medium,Hound Dogs,13 to 15 inches tall at the shoulder,35.56,18 to 30 pounds,10.8,10 to 15 years,12,2.8,4,3,4,1,2,4,5,5,5,5,5,2.8,3,1,4,1,5,2,3.6,1,4,3,5,5,5,4.33,4,5,4,5
Beaglier,"A mix of Beagle and Cavalier King Charles Spaniel, Beagliers inherit the Beagle's scenting skills and the Cavalier's affectionate nature. They are gentle, playful dogs with a loving temperament, making them wonderful companions for families.
",Medium,Mixed Breed Dogs,12 to 16 inches ,35.56,10 to 20 pounds,6.75,10 to 15 years ,12,3.2,5,4,4,1,2,3,5,5,5,5,5,3,3,1,4,2,5,2,3.2,2,4,3,3,4,4,3.33,3,3,4,5
Bearded Collie,"Bearded Collies, also known as Beardies, are lively and affectionate herding dogs with a distinctive shaggy coat and expressive eyes. They are intelligent and energetic, excelling in various dog sports and activities.
",Very Large,Herding Dogs,20 to 22 inches tall at the shoulder,53.34,45 to 55 pounds,22.5,12 to 14 years,13,3.4,3,4,4,2,4,3,4.67,5,4,5,4,2.8,4,1,2,3,4,3,3.6,5,4,3,3,3,5,4,4,4,4,5
Bedlington Terrier,"Bedlington Terriers are elegant and graceful dogs with a distinctive lamb-like appearance and a gentle temperament. Despite their appearance, they are fearless and spirited, making them excellent companions for active families.
",Medium,Terrier Dogs,15 to 16 inches tall at the shoulder,39.37,17 to 23 pounds,9,14 to 16 years,15,3.6,4,4,3,3,4,3,4.33,5,4,4,5,2.8,5,1,1,4,3,3,4,3,5,4,5,3,4,3.33,4,2,4,5
Belgian Laekenois,"Belgian Laekenois are one of the four Belgian Shepherd breeds, known for their tousled coat and alert expression. They are intelligent and loyal dogs, often employed in various working roles such as herding and protection.
",Very Large,Herding Dogs,22 to 26 inches,60.96,44 to 66 pounds,24.75,10 to 12 years,11,2.6,3,3,2,2,3,3,4,4,4,4,3,3.2,3,3,4,3,3,4,3,3,4,2,4,2,3,3.67,4,3,4,4
Belgian Malinois,"Belgian Malinois are versatile working dogs with a strong work ethic and unwavering loyalty to their handlers. They excel in various tasks, including police work, search and rescue, and competitive dog sports.
",Very Large,Herding Dogs,22 to 26 inches tall at the shoulder,60.96,40 to 80 pounds,27,12 to 14 years,13,3.2,1,3,5,3,4,4,3.67,5,4,2,3,2.8,2,1,5,4,2,4,3.8,5,5,3,4,2,3,4.67,5,4,5,5
Belgian Sheepdog,"Also known as the Groenendael, the Belgian Sheepdog is a loyal and intelligent breed with a striking black coat and a regal appearance. They are devoted companions and excel in obedience and agility competitions.
",Very Large,Herding Dogs,22 to 26 inches tall at the shoulder,60.96,60 to 75 pounds,30.38,10 to 12 years,11,3.6,3,3,5,3,4,3,4.67,4,5,5,4,2.8,5,1,3,3,2,4,3.6,5,5,2,5,1,4,4.33,5,3,5,5
Belgian Tervuren,"Belgian Tervurens are elegant and intelligent herding dogs with a luxurious coat and a confident demeanor. They are versatile companions, excelling in various roles such as herding, obedience, and search and rescue.
",Very Large,Herding Dogs,21 to 26 inches tall at the shoulder,59.69,40 to 70 pounds,24.75,10 to 12 years,11,3.2,3,3,5,1,4,3,3.33,4,3,3,3,2.6,4,1,3,3,2,4,3.8,5,5,2,2,5,4,4,5,3,4,5
Bergamasco Sheepdog,"Bergamasco Sheepdogs are ancient Italian herding dogs known for their unique coat, which forms into felt-like mats over time. They are intelligent and loyal companions, often forming strong bonds with their families.
",Very Large,Herding Dogs,20 to 24 inches,55.88,55 to 85 pounds,31.5,13 to 15 years,14,3.2,3,4,2,3,4,3,4.33,4,5,4,4,2.8,2,1,4,5,2,3,3,3,5,2,2,3,3,3,4,2,3,4
Berger Picard,"Berger Picards, also known as Picardy Shepherds, are French herding dogs with a scruffy appearance and a lively personality. They are intelligent and independent, making them adept herders and loyal companions.
",Very Large,Herding Dogs,21 inches to 25 inches tall at the shoulder,58.42,50 to 70 pounds,27,13 to 14 years,14,3.8,3,4,5,3,4,3,4.33,5,5,3,2,3.6,4,1,5,5,3,4,3,4,4,2,3,2,2,4.33,5,3,5,5
Bernedoodle,"A cross between Bernese Mountain Dogs and Poodles, Bernedoodles are gentle giants known for their intelligence and affectionate nature. They come in various sizes and coat types, making them suitable for a wide range of households.
",Very Large,Mixed Breed Dogs,From 10 to 29 inches tall at the shoulder. as sizes vary from tiny to standard,49.53,From 10 to 90 pounds,22.5,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,15,3.4,3,3,4,2,5,3,4.67,5,5,4,3,2.6,1,2,3,4,3,3,3.8,4,5,4,3,3,3,3.33,4,3,3,5
Bernese Mountain Dog,"Bernese Mountain Dogs are large, gentle giants with a striking tricolor coat and a friendly disposition. They are affectionate and loyal companions, often forming strong bonds with their families.
",Very Large,Working Dogs,23 to 28 inches,64.77,70 to 115 pounds,41.62,6 to 10 years,8,2.6,1,2,4,1,5,1,4.33,5,5,3,5,3.4,5,4,3,1,4,5,4.4,4,4,5,5,4,3,3.33,4,3,3,4
Bichon Frise,"Bichon Frises are cheerful and affectionate companion dogs known for their fluffy white coats and playful demeanor. They are adaptable and sociable, thriving in various environments and enjoying the company of people and other pets.
",Small,Companion Dogs,9 to 11 inches tall at the shoulder,25.4,7 to 12 pounds,4.28,12 to 15 years,14,3.8,5,5,5,1,3,4,4.33,5,4,4,5,2.4,2,1,1,4,4,2,3.6,5,4,3,4,2,2,3.67,5,3,3,5
Biewer Terrier,"Biewer Terriers are small, elegant dogs with a long, flowing coat and a lively personality. They are affectionate and loyal companions, often forming strong bonds with their families.
",Very Small,Terrier Dogs,7 to 11 inches,22.86,4 to 8 pounds,2.7,12 to 15 years,14,3.2,5,3,3,3,2,3,4,5,4,3,3,2.6,1,1,4,4,3,1,2.8,3,4,3,1,3,1,3.67,5,3,3,4
Black and Tan Coonhound,"Black and Tan Coonhounds are skilled scent hounds known for their distinctive black and tan coat and long, droopy ears. They are friendly and sociable dogs, often used for hunting and as beloved family pets.
",Very Large,Hound Dogs,23 to 27 inches tall at the shoulder,63.5,75 to 100 pounds,39.38,10 to 12 years,11,2.4,1,2,3,2,4,4,5,5,5,5,5,4.4,5,3,4,5,5,3,3.6,2,5,1,5,5,5,5,5,5,5,5
Black Mouth Cur,"Black Mouth Curs are versatile and hardworking dogs with a strong prey drive and a protective nature. They are loyal and affectionate companions, often forming strong bonds with their families.
",Very Large,Working Dogs,16 to 25 inches,52.07,40 to 95 pounds,30.38,12 to 18 years,15,2.4,1,2,4,2,3,3,4.33,5,5,3,3,3.2,3,2,5,4,2,4,3.8,3,4,3,5,4,4,4,4,3,5,4
Black Russian Terrier,"Black Russian Terriers are large and powerful dogs with a protective nature and a distinctive black coat. They are loyal and devoted companions, often serving as guardians for their families.
",Very Large,Working Dogs,26 to 28 inches at the shoulder,68.58,80 to 140 pounds,49.5,10 to 11 years,10,3,3,2,4,2,4,3,3.67,4,5,2,2,2.8,3,3,2,3,3,5,3.4,4,4,4,2,3,3,4,3,5,4,5
Bloodhound,"Bloodhounds are legendary scent hounds known for their exceptional tracking abilities and long, droopy ears. They are gentle and affectionate dogs, often forming strong bonds with their families.
",Very Large,Hound Dogs,23 to 27 inches ttall at the shoulder,63.5,80 to 110 pounds,42.75,11 to 15 years,13,2.4,1,2,4,2,3,3,5,5,5,5,5,3.2,4,5,1,3,3,4,3.8,3,4,5,3,4,5,4.67,5,4,5,3
Blue Lacy,"Blue Lacys are versatile and energetic working dogs known for their striking blue coat and keen intelligence. They are loyal and hardworking companions, often employed in various roles such as herding, tracking, and hunting.
",Large,Working Dogs,17 to 25 inches,53.34,25 to 50 pounds,16.88,12 to 16 years,14,2.4,1,1,4,2,4,5,3,4,3,2,2,3.2,3,2,5,4,2,3,4.8,5,5,4,5,5,4,5,5,5,5,4
